tese_id,autor,titulo,ano,programa,agencia,orientador_ou_coorientador,n_paginas,n_pag_texto,n_linhas,n_palavras
19,Tiago Fernando Barbosa de Sousa,Equalização Neural Aplicada a Sistemas com Modulação Bidimensional em Fibra Óptica,2014,Mestrado em Engenharia Elétrica e de Computação,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,80,993,13274
18,Átila Varela Ferreira Medeiros de Oliveira,Estratégia de navegação com planejamento dinâmico e algoritmo genético aplicada a robôs móveis terrestres,2015,Mestrado em Engenharia Elétrica e de Computação,,Marcelo Augusto Costa Fernandes,0,63,880,9971
14,Sérgio Natan Silva,Simulador de Tempo Real para Sistemas Dinâmicos Em FPGA,2016,Mestrado em Engenharia Elétrica e de Computação,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,75,1202,15764
15,Caroline Albuquerque Dantas Silva,Proposta de equalizador cego baseado em algoritmos genéticos,2016,Mestrado em Engenharia Elétrica e de Computação,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,81,1457,19435
16,Lucileide Medeiros Dantas da Silva,Proposta de arquitetura em Hardware para FPGA da técnica Qlearning de aprendizagem por reforço,2016,Mestrado em Engenharia Elétrica e de Computação,,Marcelo Augusto Costa Fernandes,0,65,1039,14436
17,Carlos Eduardo de Barros Santos Júnior,Proposta de Implementação dos Algoritmos MD5 e SHA-1 em Hardware,2016,Mestrado em Engenharia Elétrica e de Computação,,Marcelo Augusto Costa Fernandes,0,66,1363,18224
12,Matheus Fernandes Torquato,Proposta de implementação paralela de algoritmo genético em FPGA,2017,Mestrado em Engenharia Elétrica e de Computação,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,66,1229,16592
13,Daniel Holanda Noronha,Proposta de Implementação em FPGA de Máquina de Vetores de Suporte,2017,Mestrado em Engenharia Elétrica e de Computação,,Marcelo Augusto Costa Fernandes,0,66,1229,16592
11,MARIA GRACIELLY FERNANDES COUTINHO,Reconfigurable Computing applied to the Deep Learning Algorithms,2018,Mestrado em Engenharia Elétrica,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,63,1233,16331
09,EMANOEL LUCAS RODRIGUES COSTA,Aprendizagem de máquina aplicada ao agrupamento de dados ambientais,2020,Mestrado em Engenharia Elétrica,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,90,1880,26597
03,LUISA CHRISTINA DE SOUZA,Nova proposta de representação de genoma viral aplicada na classificação do Sars-Cov-2 com aprendizagem profunda,2022,Mestrado em Engenharia Elétrica,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,131,2071,26371
05,KAROLAYNE SANTOS DE AZEVEDO,Aprendizagem profunda aplicada à classificação e avaliação do comportamento do Sars-CoV-2,2022,Mestrado em Engenharia Elétrica,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Marcelo Augusto Costa Fernandes,0,96,1914,26110
01,MATEUS ARNAUD SANTOS DE SOUSA GOLDBARG,Compressão Consciente de Modelos de Redes Neurais Profundas Baseada em Poda Seguida de Quantização,2024,Mestrado em Engenharia Elétrica,Conselho Nacional de Desenvolvimento Científico e Tecnológico,Marcelo Augusto Costa Fernandes,0,58,1050,14576
