text,text_norm,label,label_full,score,chunk_idx,tese_id
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9813,0,01
Programa de Pós-Graduação em Engenharia Elétrica e de Computação,programa de pós-graduação em engenharia elétrica e de computação,INSTITUICAO,instituição de ensino ou pesquisa,0.534,2,01
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.8565,2,01
quantização,quantização,METODO,método ou técnica computacional,0.5428,5,01
quantização,quantização,METODO,método ou técnica computacional,0.522,5,01
DNNs,dnns,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4227,7,01
quantization,quantization,METODO,método ou técnica computacional,0.8466,8,01
quantization,quantization,METODO,método ou técnica computacional,0.8272,8,01
Deep learning,deep learning,METODO,método ou técnica computacional,0.6455,10,01
64APSK,64apsk,METODO,método ou técnica computacional,0.6187,22,01
AM-DSB-SC,am-dsb-sc,PROTOCOLO,protocolo ou padrão de comunicação,0.7974,23,01
AM-DSB-WC,am-dsb-wc,PROTOCOLO,protocolo ou padrão de comunicação,0.7622,23,01
Inteligência Artificial,inteligência artificial,METODO,método ou técnica computacional,0.5727,27,01
machine learning,machine learning,METODO,método ou técnica computacional,0.5799,27,01
quantização,quantização,METODO,método ou técnica computacional,0.513,46,01
quantização,quantização,METODO,método ou técnica computacional,0.7926,54,01
quantization,quantization,METODO,método ou técnica computacional,0.7562,54,01
quantização,quantização,METODO,método ou técnica computacional,0.8858,54,01
kernel,kernel,HARDWARE,hardware ou plataforma embarcada,0.396,60,01
CNNs,cnn,ALGORITMO,hardware ou plataforma embarcada,0.4585,60,01
algoritmos,algoritmos,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.429,65,01
algoritmos,algoritmos,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5605,65,01
processamento paralelo,processamento paralelo,METODO,método ou técnica computacional,0.7024,65,01
quantização,quantização,METODO,método ou técnica computacional,0.8683,82,01
redes neurais,rede neural,METODO,método ou técnica computacional,0.4505,82,01
quantização,quantização,METODO,método ou técnica computacional,0.8961,82,01
quantização,quantização,METODO,método ou técnica computacional,0.9086,83,01
quantização,quantização,METODO,método ou técnica computacional,0.8218,83,01
quantização,quantização,METODO,método ou técnica computacional,0.9539,83,01
rede,rede,HARDWARE,hardware ou plataforma embarcada,0.3867,84,01
quantização,quantização,METODO,método ou técnica computacional,0.8009,87,01
quantização,quantização,METODO,método ou técnica computacional,0.577,87,01
quantização,quantização,METODO,método ou técnica computacional,0.7808,87,01
deep learning,deep learning,METODO,método ou técnica computacional,0.644,117,01
DNNs,dnns,PROTOCOLO,protocolo ou padrão de comunicação,0.5166,120,01
CNNs,cnn,ALGORITMO,protocolo ou padrão de comunicação,0.5906,120,01
64APSK,64apsk,PROTOCOLO,protocolo ou padrão de comunicação,0.6567,123,01
AM-DSB-WC,am-dsb-wc,PROTOCOLO,protocolo ou padrão de comunicação,0.9633,124,01
AM-DSB-SC,am-dsb-sc,PROTOCOLO,protocolo ou padrão de comunicação,0.9618,124,01
